2025-03-24T04:03:40+00:00 CRITICAL Uncaught Error: Call to a member function get_rating_count() on bool in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/comments.php:34 CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/comments.php","line":34},"backtrace":["","#0 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/comment-template.php(1623): require()","#1 /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/single.php(41): comments_template()","#2 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/template-loader.php(106): include('/home/scbook/ht...')","#3 /home/scbook/htdocs/schoolbook.com.ua/wp-blog-header.php(19): require_once('/home/scbook/ht...')","#4 /home/scbook/htdocs/schoolbook.com.ua/index.php(17): require('/home/scbook/ht...')","#5 {main}","thrown"]}
2025-03-24T10:21:18+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T10:37:30+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T14:13:02+00:00 CRITICAL Uncaught Error: Call to a member function is_on_backorder() on bool in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/inc/enqueue-scripts-style.php:435 CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/inc/enqueue-scripts-style.php","line":435},"backtrace":["","#0 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/class-wp-hook.php(324): show_modal_on_success_payment()","#1 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters()","#2 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/plugin.php(517): WP_Hook->do_action()","#3 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/templates/checkout/thankyou.php(82): do_action()","#4 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/wc-core-functions.php(345): include('/home/scbook/ht...')","#5 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/shortcodes/class-wc-shortcode-checkout.php(335): wc_get_template()","#6 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/shortcodes/class-wc-shortcode-checkout.php(65)"]}
2025-03-24T14:13:26+00:00 CRITICAL Uncaught Error: Call to a member function is_on_backorder() on bool in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/inc/enqueue-scripts-style.php:435 CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/inc/enqueue-scripts-style.php","line":435},"backtrace":["","#0 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/class-wp-hook.php(324): show_modal_on_success_payment()","#1 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters()","#2 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/plugin.php(517): WP_Hook->do_action()","#3 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/templates/checkout/thankyou.php(82): do_action()","#4 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/wc-core-functions.php(345): include('/home/scbook/ht...')","#5 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/shortcodes/class-wc-shortcode-checkout.php(335): wc_get_template()","#6 /home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/shortcodes/class-wc-shortcode-checkout.php(65)"]}
2025-03-24T16:31:39+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T17:46:50+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T18:07:57+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T18:09:22+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T18:09:38+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T20:13:29+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T20:28:19+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T20:28:24+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T20:28:25+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T20:28:25+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
